13520, 3, online, outlier
85.940002 , 3.76900 , 0.11426 , 0
81.650002 , 3.80139 , 0.10939 , 0
76.489998 , 3.83666 , 0.10447 , 0
70.669998 , 3.83465 , 0.09740 , 0
64.129997 , 3.80566 , 0.08908 , 0
59.099998 , 3.78949 , 0.08153 , 0
54.660000 , 3.79039 , 0.07477 , 0
50.340000 , 3.79135 , 0.06801 , 0
48.639999 , 3.79051 , 0.06526 , 0
46.869999 , 3.78981 , 0.06252 , 0
44.970001 , 3.78704 , 0.05971 , 0
43.000000 , 3.78168 , 0.05684 , 0
40.849998 , 3.77123 , 0.05383 , 0
38.419998 , 3.75720 , 0.05076 , 0
36.020000 , 3.74124 , 0.04768 , 0
33.810001 , 3.71853 , 0.04449 , 0
31.570000 , 3.68075 , 0.04102 , 0
29.360001 , 3.62682 , 0.03734 , 0
28.540001 , 3.60339 , 0.03563 , 0
27.870001 , 3.58519 , 0.03406 , 0
27.219999 , 3.56750 , 0.03252 , 0
26.430000 , 3.53473 , 0.03074 , 0
24.820000 , 3.45104 , 0.02817 , 0
24.490000 , 3.43845 , 0.02685 , 0
24.190001 , 3.43214 , 0.02564 , 0
23.920000 , 3.43214 , 0.02452 , 0
24.549999 , 3.37515 , 0.02264 , 0
21.549999 , 3.30958 , 0.02073 , 0
21.080000 , 3.30305 , 0.01962 , 0
69.080002 , 3.79486 , 0.23441 , 0
83.410004 , 3.76125 , 0.21876 , 0
88.709999 , 3.46120 , 0.17550 , 0
87.110001 , 3.82815 , 0.21469 , 0
96.559998 , 3.86355 , 0.20653 , 0
78.260002 , 3.50159 , 0.15966 , 0
71.110001 , 3.57030 , 0.15562 , 0
66.180000 , 3.84603 , 0.18058 , 0
68.239998 , 3.56385 , 0.14472 , 0
65.860001 , 3.48691 , 0.12864 , 0
53.779999 , 3.71268 , 0.12340 , 0
62.389999 , 3.36333 , 0.10127 , 0
70.959999 , 3.45740 , 0.10702 , 0
48.490002 , 3.82749 , 0.11923 , 0
46.950001 , 3.81599 , 0.11377 , 0
45.240002 , 3.78320 , 0.10717 , 0
44.669998 , 3.27905 , 0.08051 , 0
55.689999 , 3.37372 , 0.08522 , 0
43.230000 , 3.73853 , 0.10010 , 0
41.430000 , 3.27845 , 0.07698 , 0
40.810001 , 3.68635 , 0.09290 , 0
38.259998 , 3.64342 , 0.08643 , 0
36.290001 , 3.61099 , 0.08065 , 0
32.209999 , 3.23276 , 0.06464 , 0
34.709999 , 3.56807 , 0.07460 , 0
35.919998 , 3.22293 , 0.06087 , 0
33.139999 , 3.51597 , 0.06842 , 0
33.110001 , 3.11307 , 0.05363 , 0
31.340000 , 3.46309 , 0.06247 , 0
29.070000 , 3.19367 , 0.05313 , 0
29.650000 , 3.41195 , 0.05685 , 0
28.850000 , 3.38689 , 0.05415 , 0
22.760000 , 3.08942 , 0.04505 , 0
28.240000 , 3.36425 , 0.05158 , 0
27.750000 , 3.34195 , 0.04909 , 0
27.490000 , 3.31364 , 0.04647 , 0
24.230000 , 3.09732 , 0.03904 , 0
27.590000 , 3.27936 , 0.04376 , 0
23.250000 , 3.05847 , 0.03654 , 0
28.110001 , 3.25865 , 0.04148 , 0
22.180000 , 3.02738 , 0.03431 , 0
21.100000 , 2.99534 , 0.03213 , 0
20.230000 , 2.95723 , 0.02989 , 0
19.610001 , 2.92424 , 0.02784 , 0
19.200001 , 2.90943 , 0.02618 , 0
18.719999 , 2.89785 , 0.02460 , 0
18.219999 , 2.88640 , 0.02305 , 0
17.590000 , 2.87396 , 0.02151 , 0
16.840000 , 2.86222 , 0.02000 , 0
83.690002 , 3.97798 , 0.18346 , 0
80.050003 , 3.94721 , 0.17001 , 0
75.279999 , 3.90295 , 0.15583 , 0
69.849998 , 3.88256 , 0.14392 , 0
64.250000 , 3.87563 , 0.13317 , 0
60.470001 , 3.86975 , 0.12255 , 0
56.869999 , 3.73310 , 0.10454 , 0
48.980000 , 3.64991 , 0.09085 , 0
46.560001 , 3.64598 , 0.08703 , 0
44.349998 , 3.64196 , 0.08322 , 0
42.560001 , 3.63238 , 0.07918 , 0
40.799999 , 3.60924 , 0.07462 , 0
39.060001 , 3.57469 , 0.06972 , 0
