12894 , 4, online, outline
37.58, 3.80720, 0.06720, 16.5326, 0
38.28, 3.81930, 0.06820, 16.5846, 0
39.01, 3.83130, 0.06920, 16.6533, 0
40.16, 3.84340, 0.07020, 16.7691, 0
41.8, 3.85540, 0.07140, 16.9222, 0
43.57, 3.86750, 0.07290, 17.0680, 0
45.51, 3.87950, 0.07340, 17.2749, 0
46.54, 3.89160, 0.07310, 17.4279, 0
48.19, 3.90360, 0.07130, 17.7184, 0
49.95, 3.91570, 0.06790, 18.0639, 0
51.2, 3.92770, 0.06500, 18.3118, 0
53.9, 3.93980, 0.05830, 18.7631, 0
58.51, 3.95180, 0.04950, 19.2354, 0
65.02, 3.96390, 0.04440, 19.5035, 0
68.27, 3.97590, 0.04300, 19.5800, 0
70.62, 3.98800, 0.04270, 19.6181, 0
74.47, 4.00000, 0.04400, 19.6389, 0
75.85, 4.01200, 0.04520, 19.6367, 0
78.77, 4.02410, 0.04840, 19.6189, 0
27.31, 3.57830, 0.05860, 16.8333, 0
27.68, 3.59040, 0.05940, 16.8647, 0
28.06, 3.60240, 0.06040, 16.8884, 0
28.44, 3.61450, 0.06130, 16.9176, 0
28.84, 3.62650, 0.06230, 16.9441, 0
29.26, 3.63860, 0.06320, 16.9709, 0
29.68, 3.65060, 0.06420, 17.0030, 0
30.12, 3.66270, 0.06520, 17.0276, 0
30.57, 3.67470, 0.06630, 17.0543, 0
31.03, 3.68670, 0.06740, 17.0814, 0
31.51, 3.69880, 0.06850, 17.1060, 0
31.75, 3.71080, 0.06920, 17.1296, 0
32.25, 3.72290, 0.07040, 17.1565, 0
32.77, 3.73490, 0.07160, 17.1778, 0
33.03, 3.74700, 0.07240, 17.1965, 0
33.57, 3.75900, 0.07380, 17.2131, 0
33.85, 3.77110, 0.07470, 17.2248, 0
34.42, 3.78310, 0.07620, 17.2383, 0
35.01, 3.79520, 0.07790, 17.2461, 0
35.31, 3.80720, 0.07890, 17.2561, 0
35.93, 3.81930, 0.08060, 17.2671, 0
36.57, 3.83130, 0.08230, 17.2818, 0
37.24, 3.84340, 0.08400, 17.3024, 0
