   8924, 3, online, outlier
    50,  3.775, 0.1461, 0
    48,  3.665, 0.1321, 0
    46,  3.647, 0.1254, 0
    44,  3.635, 0.1192, 0
    42,   3.59,  0.111, 0
    40,  3.533, 0.1023, 0
    38,  3.519, 0.09647, 0
    36,  3.487, 0.08975, 0
    34,  3.415, 0.08129, 0
    32,  3.376, 0.07478, 0
    30,  3.372, 0.06995, 0
    29,  3.355, 0.06691, 0
    28,  3.326, 0.06349, 0
    27,  3.286, 0.05978, 0
    26,  3.262, 0.05671, 0
    70,  4.094, 0.3023, 0
    65,  3.978, 0.2649, 0
    55,  3.801, 0.2047, 0
    50,  3.701, 0.1764, 0
    48,  3.589, 0.1593, 0
    46,  3.642, 0.1572, 0
    44,   3.68, 0.1535, 0
    42,   3.66,  0.145, 0
    40,  3.632, 0.1359, 0
    38,  3.636, 0.1294, 0
    36,  3.609, 0.1208, 0
    34,   3.56,  0.111, 0
    32,  3.532, 0.1028, 0
    30,  3.476, 0.09337, 0
    29,  3.441, 0.08846, 0
    28,  3.411, 0.08393, 0
    27,  3.388, 0.07985, 0
    26,  3.378, 0.0764, 0
    25,  3.366, 0.07298, 0
    70,   3.84, 0.2146, 0
    65,  3.854, 0.2007, 0
    60,  3.804, 0.1805, 0
    55,   3.74, 0.1599, 0
    50,  3.666, 0.1397, 0
    48,   3.63, 0.1315, 0
    46,  3.598, 0.1238, 0
    44,   3.58, 0.1173, 0
    42,  3.563, 0.1108, 0
    40,  3.538, 0.1041, 0
    38,  3.511, 0.09737, 0
    36,  3.464, 0.08981, 0
    34,  3.421, 0.08271, 0
    32,  3.379, 0.07596, 0
    30,  3.337, 0.06945, 0
    29,  3.312, 0.06611, 0
    28,  3.291, 0.06303, 0
    27,   3.27, 0.06002, 0
    26,  3.245, 0.05692, 0
    25,  3.222, 0.05395, 0
    70,  3.958, 0.2224, 0
    65,  3.863, 0.1967, 0
    60,  3.635, 0.1608, 0
    55,  3.785, 0.1598, 0
    50,  3.616, 0.1326, 0
    48,  3.509, 0.1199, 0
    46,  3.568, 0.1187, 0
    44,  3.597, 0.1154, 0
    42,  3.577,  0.109, 0
    40,  3.544, 0.1019, 0
    38,  3.541, 0.09662, 0
    36,   3.52, 0.09046, 0
    34,   3.45, 0.08207, 0
    32,  3.394, 0.07477, 0
    30,  3.325, 0.06728, 0
    29,   3.28, 0.06329, 0
    28,  3.253, 0.06007, 0
    27,  3.249, 0.05779, 0
    26,  3.253, 0.05581, 0
    85,   3.67, 0.2462, 0
    80,  3.629, 0.2265, 0
    75,  3.707, 0.2217, 0
    70,  3.955, 0.2354, 0
    65,  3.753, 0.1969, 0
    60,  3.495, 0.1576, 0
    55,  3.809, 0.1716, 0
    50,  3.698,  0.147, 0
    48,  3.586, 0.1328, 0
    46,  3.636, 0.1308, 0
    44,  3.674, 0.1277, 0
    42,  3.653, 0.1205, 0
    40,  3.561, 0.1091, 0
    38,  3.486, 0.0993, 0
    36,  3.458, 0.09257, 0
    34,  3.418, 0.08543, 0
    32,  3.385, 0.07885, 0
    30,  3.354, 0.07256, 0
    29,  3.331, 0.0692, 0
    28,  3.307, 0.06584, 0
    27,   3.28, 0.06247, 0
    26,  3.263, 0.05953, 0
    25,  3.251, 0.05682, 0
    95,  4.063, 0.4003, 0
    90,  3.838, 0.3384, 0
    85,  3.587, 0.2792, 0
    80,  3.517, 0.2526, 0
    75,  3.617, 0.2505, 0
    70,  3.949, 0.2786, 0
    65,  3.802, 0.2399, 0
    60,  3.549,  0.193, 0
    55,  3.807, 0.2035, 0
    50,  3.678, 0.1726, 0
    48,  3.578, 0.1569, 0
    46,  3.618, 0.1537, 0
    44,  3.643, 0.1491, 0
    42,  3.622, 0.1406, 0
    40,  3.586, 0.1313, 0
    38,  3.554, 0.1226, 0
    36,  3.504, 0.1128, 0
    34,  3.427, 0.1019, 0
    32,  3.411, 0.09502, 0
    30,  3.441, 0.09067, 0
    29,  3.443, 0.08776, 0
    28,  3.422, 0.08369, 0
